Scientific Name	Common Name
Acacia paradoxa	Kangaroo thorn
Acaena anserinifolia	Biddy biddy
Acaena novae-zelandieae	Biddy biddy
Acaena pallida	Biddy biddy
Achnatherum brachychaetum	Punagrass
Acroptilon repens	Russian knapweed
Aegilops cylindrica	Jointed goatgrass
Aegilops geniculata	Ovate goatgrass
Aegilops triuncialis	Barb goatgrass
Aeschynomene spp.	Joint-vetch
Alhagi maurorum	Camelthorn
Allium paniculatum	Panicled onion
Allium vineale	Wild garlic
Alternanthera sessilis	Sessile joyweed
Amelichloa brachychaeta	Punagrass
Araujia sericifera	Bladderflower
Arundo donax	Giant reed
Asphodelus fistulosus	Onionweed
Atriplex amnicola	Swamp saltbush
Berteroa incana	Hoary alyssum
Brachypodium sylvaticum	Slender false-brome
Cabomba caroliniana	Carolina fanwort
Carduus acanthoides	Plumeless thistle
Carduus crispus	Curly plumeless thistle
Carduus nutans	Musk thistle
Carduus pycnocephalus	Slender-flowered thistle
Carduus tenuiflorus	Italian thistle
Carthamus creticus	Smooth distaff thistle
Carthamus lanatus	Wooly distaff thistle
Carthamus leucocaulos	Whitestem distaff thistle
Centaurea calcitrapa	Purple starthistle
Centaurea diffusa	Diffuse knapweed
Centaurea iberica	Iberian starthistle
Centaurea jacea	Brown-ray knapweed
Centaurea melitensis	Maltese starthistle
Centaurea nigra	Black knapweed
Centaurea nigrescens	Brown knapweed
Centaurea solstitialis	Yellow starthistle
Centaurea stoebe	Spotted knapweed
Centaurea sulphurea	Sicilian starthistle
Centaurea virgata subsp. squarrosa	Squarrose knapweed
Centaurea x moncktonii	Meadow knapweed
Chondrilla juncea	Skeletonweed
Chorispora tenella	Purple mustard
Cirsium arvense	Canada thistle
Cirsium vulgare	Bull thistle
Coincya monensis	Star-mustard
Coronopus squamatus	Swinecress
Cortaderia jubata	Jubata grass
Cucumis melo var. dudaim	Dudaim melon
Cucumis myriocarpus	Paddy melon
Cuscuta spp.	Dodder
Cynara cardunculus	Artichoke thistle
Cyperus esculentus	Yellow nutsedge
Cyperus rotundus	Purple nutsedge
Cytisus scoparius	Scotch broom
Delairea odorata	Cape ivy
Dinebra chinensis	Asian sprangletop
Dittrichia graveolens	Stinkweed
Egeria najas	Anacharis
Elymus repens	Quackgrass
Euphorbia graminea	Grassleaf spurge
Euphorbia oblongata	Eggleaf spurge
Euphorbia serrata	Serrate spurge
Euphorbia terracina	Carnation spurge
Euphorbia virgata	Leafy spurge
Fatoua villosa	Hairy crabweed
Helianthus ciliaris	Texas blueweed
Heteropogon contortus	Tanglehead
Hyoscyamus niger	Black henbane
Isatis tinctoria	Dyer’s woad
Koenigia polystachya	Himalayan knotweed
Lagarosiphon major	Oxygen weed
Lepidium appelianum	Globe-podded hoarycress
Lepidium chalepense	Lens-podded hoarycress
Lepidium draba	Heart-podded hoarycress
Lepidium latifolium	Perennial peppercress
Limnobium spongia	American spongeplant
Linaria dalmatica	Dalmatian toadflax
Lythrum salicaria	Purple loosestrife
Mercurialis ambigua	Spanish mercury
Muhlenbergia schreberi	Nimblewill
Nothoscordum gracile	False garlic
Oenothera sinuosa	Wavyleaf gaura
Oenothera xenogaura	Drummond’s gaura
Ononis alopecuroides	Foxtail restharrow
Onopordum spp.	Scotch thistle
Oryza rufipogon	Red rice
Peganum harmala	Harmel
Persicaria wallichii	Himalayan knotweed
Physalis longifolia	Smooth groundcherry
Physalis viscosa	Grape groundcherry
Potentilla recta	Sulphur cinquefoil
Prosopis strombulifera	Creeping mesquite
Retama monosperma	Bridal veil broom
Rorippa austriaca	Austrian fieldcress
Rorippa sylvestris	Creeping yellowcress
Saccharum ravennae	Ravennagrass
Salsola damascena	Wormleaf salsola
Salsola paulsenii	Paulsen’s russianthistle
Salvia aethiopis	Mediterranean sage
Salvia virgata	Meadow sage
Salvinia auriculata	Giant salvinia
Scolymus hispanicus	Golden thistle
Senecio jacobaea	Tansy ragwort
Senecio linearifolius	Fireweed groundsel
Senecio squalidus	Oxford ragwort
Sesbania punicea	Red sesbania
Setaria faberi	Giant foxtail
Solanum carolinense	Carolina horsenettle
Solanum dimidiatum	Torrey’s nightshade
Solanum elaeagnifolium	White horsenettle
Sonchus arvensis	Perennial sowthistle
Sorghum halepense	Johnsongrass
Spartina alterniflora	Smooth cordgrass
Spartina anglica	Common cordgrass
Spartina densiflora	Dense-flowered cordgrass
Spartina patens	Saltmeadow cordgrass
Spartium junceum	Spanish broom
Sphaerophysa salsula	Austrian peaweed
Stipa brachychaeta	Punagrass
Symphytum x uplandicum	Russian comfrey
Taeniatherum caput-medusae	Medusahead
Tagetes minuta	Wild marigold
Tamarix chinensis	Tamarisk
Tamarix gallica	Tamarisk
Tamarix parviflora	Tamarisk
Tamarix ramosissima	Tamarisk
Tribolium obliterum	Capegrass
Tribulus terrestris	Puncture-vine
Tripidium ravennae	Ravennagrass
Ulex europaeus	Gorse
Zostera japonica	Dwarf eelgrass
Zygophyllum fabago	Syrian beancaper